Date,X,Y,Mem_num,Sample,locality,TALOC,RH,PCTWET,SOLR,TSKYC,TALOC2,Max Te,Mean Te,Min Te,Day_mean,Range,Proc_time,TSKYC2,Aspect_val,Aspect_cat,Aspect_gen,Slope_val,Slope_cat,Sex,Morphotype,Elevation,Population,Ord_elev,Daily_ave_ temp,Daily_min_temp,Daily_max_temp,Env,GRP94p_TPF,HSP70p_TPF,GAPDHp_TPF,carb250,carb130,carb120,carbtot,3nt65,3nt55,3nt30,3nt18,3nttot
17/07/2018,28.36816,-16.86408,BR2,BV16,BV,13.85189923,57.11377848,40.31554537,168.0572527,9.012169592,15.9790059,35.285964,22.60317974,14.86385465,27.95984752,20.42210935,5,13.29962782,308,NW,N,6.27,2,Male,eisentrauti,67,1,2,19.07,13.44,26.55,1,1834.42939,27639.90374,21648.2253,412.485,365.899,NA,778.384,4744.460554,494.6884574,4685.942126,4506.89768,14431.98882
17/07/2018,28.36816,-16.86408,BR3,BV19,BV,13.85189923,57.11377848,40.31554537,168.0572527,9.012169592,15.9790059,35.285964,22.60317974,14.86385465,27.95984752,20.42210935,5,13.29962782,308,NW,N,6.27,2,Male,eisentrauti,67,1,2,19.07,13.44,26.55,1,206.8581755,19340.65202,1103.182886,1039.049287,29026.44768,2544.555159,32610.05212,1531.194299,2098.125332,1842.629842,3832.533281,9304.482754
17/07/2018,28.36816,-16.86408,BR4,BV20,BV,13.85189923,57.11377848,40.31554537,168.0572527,9.012169592,15.9790059,35.285964,22.60317974,14.86385465,27.95984752,20.42210935,5,13.29962782,308,NW,N,6.27,2,Male,eisentrauti,67,1,2,19.07,13.44,26.55,1,518.698,6827.208,287.192,4332.197973,9736.334233,390.6498421,14459.18205,2061.176864,4800.869784,2302.273513,10786.3297,19950.64986
17/07/2018,28.36816,-16.86408,BR1,BV5,BV,13.85189923,57.11377848,40.31554537,168.0572527,9.012169592,15.9790059,35.285964,22.60317974,14.86385465,27.95984752,20.42210935,5,13.29962782,308,NW,N,6.27,2,Male,eisentrauti,67,1,2,19.07,13.44,26.55,1,106.390631,1238.802849,1926.662783,1569.406,8320.267,778.092,10667.765,4896.861,542.92,6303.782,1296.406,13039.969
16/07/2018,28.1318,-16.61355,BR1,CR1,CR,21.64001485,45.41215204,47.08000536,216.588266,6.938037682,17.23422645,36.12460967,23.27993142,15.46791291,28.70687472,20.65669676,1,14.77564868,142,SE,SE,10.05,3,Male,galloti,981,3,5,16.81,11.78,26.03,1,17185.98667,46256.38462,411.727685,625.3804411,3513.461898,NA,4138.842339,2215.85498,2259.884711,12878.07295,346.2470409,17700.05968
16/07/2018,28.1318,-16.61355,BR4,CR12,CR,21.64001485,45.41215204,47.08000536,216.588266,6.938037682,17.23422645,36.12460967,23.27993142,15.46791291,28.70687472,20.65669676,1,14.77564868,142,SE,SE,10.05,3,Male,galloti,981,3,5,16.81,11.78,26.03,1,36279.45443,15807.49492,23418.92802,6288.019283,4458.903928,NA,10746.92321,978.3319078,3461.399447,6262.700088,1466.902316,12169.33376
16/07/2018,28.1318,-16.61355,BR2,CR4,CR,21.64001485,45.41215204,47.08000536,216.588266,6.938037682,17.23422645,36.12460967,23.27993142,15.46791291,28.70687472,20.65669676,1,14.77564868,142,SE,SE,10.05,3,Male,galloti,981,3,5,16.81,11.78,26.03,1,24690.501,9388.752,17032.581,3307.701547,13480.74985,644.7809546,17433.23235,616.6897048,1488.131685,176.3031374,1693.09128,3974.215807
16/07/2018,28.1318,-16.61355,BR3,CR5,CR,21.64001485,45.41215204,47.08000536,216.588266,6.938037682,17.23422645,36.12460967,23.27993142,15.46791291,28.70687472,20.65669676,1,14.77564868,142,SE,SE,10.05,3,Male,galloti,981,3,5,16.81,11.78,26.03,1,41927.85887,8109.605373,15522.15691,3384.277722,2435.143799,237.2054933,6056.627013,651.4092321,5439.197326,7569.546757,2367.264349,16027.41766
16/07/2018,28.327189,-16.792051,BR2,LL1,LL,20.29964407,45.23155641,19.88977953,226.4035823,6.998624589,18.67002437,34.68269702,22.67132222,15.52168138,27.71799537,19.16101564,5,14.83880841,296,NW,N,5.72,2,Male,eisentrauti,1099,1,6,15.55,11.97,20.64,3,62950.59987,11947.2254,27380.15661,835.092428,524.8092386,NA,1359.901667,1887.255,3651.225,9925.095,900.335,16363.91
16/07/2018,28.327189,-16.792051,BR3,LL16,LL,20.29964407,45.23155641,19.88977953,226.4035823,6.998624589,18.67002437,34.68269702,22.67132222,15.52168138,27.71799537,19.16101564,5,14.83880841,296,NW,N,5.72,2,Male,eisentrauti,1099,1,6,15.55,11.97,20.64,3,22536.92265,45676.88466,358.6934339,2776.181709,230.7394939,NA,3006.921203,115.6377103,3912.525177,2179.06999,1091.559932,7298.79281
16/07/2018,28.327189,-16.792051,BR1,LL2,LL,20.29964407,45.23155641,19.88977953,226.4035823,6.998624589,18.67002437,34.68269702,22.67132222,15.52168138,27.71799537,19.16101564,5,14.83880841,296,NW,N,5.72,2,Male,eisentrauti,1099,1,6,15.55,11.97,20.64,3,42375.45473,8084.59224,22095.40359,2167.355,9416.075,301.435,11884.865,1212.823855,6193.415515,2917.470785,2171.905149,12495.6153
16/07/2018,28.327189,-16.792051,BR4,LL29,LL,20.29964407,45.23155641,19.88977953,226.4035823,6.998624589,18.67002437,34.68269702,22.67132222,15.52168138,27.71799537,19.16101564,5,14.83880841,296,NW,N,5.72,2,Male,eisentrauti,1099,1,6,15.55,11.97,20.64,3,13731.87588,23108.98787,15781.67569,870.5353112,1223.923323,NA,2094.458634,1717.473445,3851.584297,8768.341841,2506.415531,16843.81511
18/07/2018,28.2945,-16.8132,BR4,ST13,ST,18.68790475,49.84690799,30.60059128,211.6859119,7.140055183,16.74372731,35.62846574,21.92905949,13.40950515,27.74767376,22.2189606,1,13.28576973,160,S,SW,2.95,1,Male,galloti,927,1,4,15.24,9.16,26.62,1,30689.83542,18972.33333,21687.50044,602.5546897,1157.67183,NA,1760.22652,4249.494953,2964.68592,13419.04486,4076.548527,24709.77426
18/07/2018,28.2945,-16.8132,BR1,ST3,ST,18.68790475,49.84690799,30.60059128,211.6859119,7.140055183,16.74372731,35.62846574,21.92905949,13.40950515,27.74767376,22.2189606,1,13.28576973,160,S,SW,2.95,1,Male,galloti,927,1,4,15.24,9.16,26.62,1,12267.32357,3313.802797,17855.53938,3667.899381,1299.06163,18.76384685,4985.724858,3535.863095,3195.455507,4188.885875,5218.818239,16139.02272
18/07/2018,28.2945,-16.8132,BR2,ST7,ST,18.68790475,49.84690799,30.60059128,211.6859119,7.140055183,16.74372731,35.62846574,21.92905949,13.40950515,27.74767376,22.2189606,1,13.28576973,160,S,SW,2.95,1,Male,galloti,927,1,4,15.24,9.16,26.62,1,5760.161612,62754.8908,75.45262111,2002.673431,18179.2775,1096.964834,21278.91577,2155.433027,4863.104994,7094.627016,913.803162,15026.9682
18/07/2018,28.2945,-16.8132,BR3,ST8,ST,18.68790475,49.84690799,30.60059128,211.6859119,7.140055183,16.74372731,35.62846574,21.92905949,13.40950515,27.74767376,22.2189606,1,13.28576973,160,S,SW,2.95,1,Male,galloti,927,1,4,15.24,9.16,26.62,1,18560.13835,4090.646913,18787.52173,3872.236023,7189.012642,361.832176,11423.08084,904.5688128,9352.989871,7962.877568,2529.258565,20749.69482
18/07/2018,28.35889,-16.78634,BR1,TA22,TA,18.6872011,49.84705232,30.6081307,211.6176242,7.140043128,16.74354906,35.25849493,22.40068152,14.51692216,27.84158779,20.74157277,5,13.28578207,258,W,N,8.01,3,Male,eisentrauti,629,1,3,17.92,13.02,25.47,2,5203.710078,69462.43229,563.4805186,156.9201609,20732.79606,4732.646343,25622.36256,5727.920025,2349.925945,8270.883104,594.1968923,16942.92597
18/07/2018,28.35889,-16.78634,BR2,TA23,TA,18.6872011,49.84705232,30.6081307,211.6176242,7.140043128,16.74354906,35.25849493,22.40068152,14.51692216,27.84158779,20.74157277,5,13.28578207,258,W,N,8.01,3,Male,eisentrauti,629,1,3,17.92,13.02,25.47,2,13024.74397,8187.877255,10042.3475,1725.227312,5588.761262,17.05440488,7331.042979,2754.022867,1887.767589,1045.791747,3674.240199,9361.822403
18/07/2018,28.35889,-16.78634,BR3,TA30,TA,18.6872011,49.84705232,30.6081307,211.6176242,7.140043128,16.74354906,35.25849493,22.40068152,14.51692216,27.84158779,20.74157277,5,13.28578207,258,W,N,8.01,3,Male,eisentrauti,629,1,3,17.92,13.02,25.47,2,26329.70915,32019.02678,23279.16755,876.486009,24319.70817,907.4879518,26103.68213,1896.835349,3195.682139,7822.70347,2287.649199,15202.87016
18/07/2018,28.35889,-16.78634,BR4,TA31,TA,18.6872011,49.84705232,30.6081307,211.6176242,7.140043128,16.74354906,35.25849493,22.40068152,14.51692216,27.84158779,20.74157277,5,13.28578207,258,W,N,8.01,3,Male,eisentrauti,629,1,3,17.92,13.02,25.47,2,26302.31122,8623.542099,21310.46688,3260.968534,973.2100399,200.4750671,4434.653641,2116.454729,8854.760307,10789.18394,2217.371493,23977.77047
19/07/2018,28.27246,-16.62282,BR1,TRE3,TRE,19.11337286,49.58298873,29.66490118,187.264566,9.576074156,17.14744515,36.91234984,21.44800539,11.6395793,28.06365857,25.27277054,0,14.01677517,132,SE,SE,25.23,5,Female,galloti,2935,2,8,11.25,1.14,28.68,3,703.2601118,50231.57678,297.2485693,1163.606857,18689.59759,NA,19853.20444,2838.30497,2818.635697,4951.133414,2154.008807,12762.08289
19/07/2018,28.27246,-16.62282,BR2,TRE4,TRE,19.11337286,49.58298873,29.66490118,187.264566,9.576074156,17.14744515,36.91234984,21.44800539,11.6395793,28.06365857,25.27277054,0,14.01677517,132,SE,SE,25.23,5,Female,galloti,2935,2,8,11.25,1.14,28.68,3,3075.782,7899.895,9264.761,2392.276,22282.037,398.092,25072.405,2492.330349,285.6693046,5806.548304,2752.979582,11337.52754
19/07/2018,28.27246,-16.62282,BR3,TRE5,TRE,19.11337286,49.58298873,29.66490118,187.264566,9.576074156,17.14744515,36.91234984,21.44800539,11.6395793,28.06365857,25.27277054,0,14.01677517,132,SE,SE,25.23,5,Female,galloti,2935,2,8,11.25,1.14,28.68,3,43734.17415,17707.53816,27092.15975,1969.942395,1230.372629,66.20859389,3266.523618,1102.95348,12273.33358,14572.8428,999.5514786,28948.68134
19/07/2018,28.27246,-16.62282,BR4,TRE6,TRE,19.11337286,49.58298873,29.66490118,187.264566,9.576074156,17.14744515,36.91234984,21.44800539,11.6395793,28.06365857,25.27277054,0,14.01677517,132,SE,SE,25.23,5,Female,galloti,2935,2,8,11.25,1.14,28.68,3,27638.09017,31098.06326,25711.99847,1101.959236,3365.00215,NA,4466.961386,987.6852045,4996.366747,5819.631002,1991.323502,13795.00646
19/07/2018,28.27064,-16.61764,BR1,TSE11,TSE,19.11297427,49.58281222,29.66615937,187.2213512,9.576129263,17.14738017,35.11110742,20.78116469,11.85752172,26.87852559,23.2535857,0,14.01683049,72,E,SE,13.66,4,Female,galloti,2729,2,7,10.55,2.11,22.39,3,3769.273026,64207.56243,905.8146743,577.0859088,21947.98823,8711.450763,31236.52491,1589.280383,2206.070039,521.9790402,2437.971666,6755.301129
19/07/2018,28.27064,-16.61764,BR2,TSE12,TSE,19.11297427,49.58281222,29.66615937,187.2213512,9.576129263,17.14738017,35.11110742,20.78116469,11.85752172,26.87852559,23.2535857,0,14.01683049,72,E,SE,13.66,4,Female,galloti,2729,2,7,10.55,2.11,22.39,3,747.5448071,3819.968102,13280.76678,2822.99656,38894.8674,4988.065629,46705.92959,4473.966957,2106.62271,8138.261205,4055.683212,18774.53408
19/07/2018,28.27064,-16.61764,BR3,TSE16,TSE,19.11297427,49.58281222,29.66615937,187.2213512,9.576129263,17.14738017,35.11110742,20.78116469,11.85752172,26.87852559,23.2535857,0,14.01683049,72,E,SE,13.66,4,Female,galloti,2729,2,7,10.55,2.11,22.39,3,6228.487098,36737.76969,39736.08562,1920.895989,24814.59513,3927.308764,30662.79988,1223.861737,6176.066979,3862.782926,2027.59064,13290.30228
19/07/2018,28.27064,-16.61764,BR4,TSE19,TSE,19.11297427,49.58281222,29.66615937,187.2213512,9.576129263,17.14738017,35.11110742,20.78116469,11.85752172,26.87852559,23.2535857,0,14.01683049,72,E,SE,13.66,4,Female,galloti,2729,2,7,10.55,2.11,22.39,3,19.00649119,17531.61821,7624.419208,918.1750426,2293.370246,64.65066024,3276.195949,1419.194985,9491.93009,1605.829489,3051.569503,15568.52407
